Date,Open,High,Low,Close,Adj Close,Volume
2007-03-12,22.65,22.65,22.25,22.355,20.767882999999998,29070612.0
2007-03-13,,,,,,
2007-03-14,,,,,,
2007-03-15,,,,,,
2007-03-16,,,,,,
2007-03-19,22.605,22.605,22.605,22.605,21.000134,0.0
2007-03-20,,,,,,
2007-03-21,,,,,,
2007-03-22,,,,,,
2007-03-23,,,,,,
2007-03-26,,,,,,
2007-03-27,,,,,,
2007-03-28,,,,,,
2007-03-29,23.405001000000002,24.395,23.24,23.700001,22.017397,92397236.0
2007-03-30,,,,,,
2007-04-02,,,,,,
2007-04-03,,,,,,
2007-04-04,,,,,,
2007-04-05,23.9,24.0,23.6,23.959999,22.258932,24573076.0
2007-04-06,,,,,,
2007-04-09,,,,,,
2007-04-10,,,,,,
2007-04-11,,,,,,
2007-04-12,,,,,,
2007-04-13,27.049999,28.219998999999998,27.0,27.514999,25.561543,53337890.0
2007-04-16,27.83,28.275,27.83,28.209999,26.207201,29394454.0
2007-04-17,,,,,,
2007-04-18,,,,,,
2007-04-19,,,,,,
2007-04-20,,,,,,
2007-04-23,,,,,,
2007-04-24,,,,,,
2007-04-25,,,,,,
2007-04-26,,,,,,
2007-04-27,,,,,,
2007-04-30,,,,,,
2007-05-03,,,,,,
2007-05-04,,,,,,
2007-05-08,,,,,,
2007-05-09,,,,,,
2007-05-10,32.880001,33.0,32.150002,32.240002000000004,29.951088000000002,17168918.0
2007-05-11,,,,,,
2007-05-14,,,,,,
2007-05-15,,,,,,
2007-05-16,,,,,,
2007-05-17,,,,,,
2007-05-18,31.245001000000002,31.42,30.504998999999998,31.1,28.892021000000003,22354590.0
2007-05-21,,,,,,
2007-05-22,,,,,,
2007-05-23,,,,,,
2007-05-24,,,,,,
2007-05-25,,,,,,
2007-05-28,,,,,,
2007-05-29,,,,,,
2007-05-30,,,,,,
2007-05-31,,,,,,
2007-06-01,,,,,,
2007-06-04,,,,,,
2007-06-05,,,,,,
2007-06-06,,,,,,
2007-06-07,,,,,,
2007-06-08,,,,,,
2007-06-11,,,,,,
2007-06-12,,,,,,
2007-06-13,,,,,,
2007-06-14,,,,,,
2007-06-15,32.200001,32.935001,32.029999,32.689999,30.369137,18765038.0
2007-06-18,,,,,,
2007-06-19,,,,,,
2007-06-20,,,,,,
2007-06-21,,,,,,
2007-06-22,,,,,,
2007-06-25,,,,,,
2007-06-26,36.400002,37.09,35.799999,36.595001,33.996899,33315220.0
2007-06-27,,,,,,
2007-06-28,38.165001000000004,38.244999,36.509997999999996,36.549999,33.955096999999995,17632890.0
2007-06-29,35.75,36.5,35.599998,35.755001,33.216541,18787294.0
2007-07-02,35.5,35.799999,34.200001,34.84,32.366496999999995,14047344.0
2007-07-03,,,,,,
2007-07-04,,,,,,
2007-07-05,,,,,,
2007-07-06,35.009997999999996,36.424999,34.924999,36.41,33.825035,13210586.0
2007-07-09,,,,,,
2007-07-10,37.990002000000004,39.099998,37.700001,38.66,35.915290999999996,17370608.0
2007-07-11,,,,,,
2007-07-12,,,,,,
2007-07-13,,,,,,
